method,evaluation,scenario,window_start_h,horizon_h,region,status,solver_success,solver_mode,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,load_std_MW,renewable_utilization_ratio,curtailment_MWh,terminal_SOC_MWh,initial_SOC_MWh,grid_import_peak_margin_MW,max_charge_MW,max_discharge_MW
no_storage_renewable_first,rolling_block,observed,2184,168,RegionE,deterministic baseline,True,baseline,0.0000000000,,-9701652.1951804180,0.0000000000,-77.2900000000,42.5674954944,0.7959196987,27428.3924941672,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,2352,55,RegionE,deterministic baseline,True,baseline,0.0000000000,,-3033259.2428006497,0.0000000000,-23.3937500000,50.3919154454,0.8111305003,8221.1229158334,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,0,168,RegionF,deterministic baseline,True,baseline,0.0000000000,,-10284624.8235998116,0.0000000000,-55.6341995767,45.8042330285,0.7997697388,26910.9471078835,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,168,168,RegionF,deterministic baseline,True,baseline,0.0000000000,,-10419463.6298687123,0.0000000000,-57.7931995767,46.6272610645,0.8015354585,26673.6343787301,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,336,168,RegionF,deterministic baseline,True,baseline,0.0000000000,,-10487524.1660615373,0.0000000000,-49.2588000000,47.5203926741,0.8012913596,26706.4412691534,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,504,168,RegionF,deterministic baseline,True,baseline,0.0000000000,,-10576247.5915514529,0.0000000000,-69.3374995767,46.5967104416,0.8032572972,26442.2192574603,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,672,168,RegionF,deterministic baseline,True,baseline,0.0000000000,,-10626520.4814752582,0.0000000000,-58.6356000000,44.4947849930,0.8022912408,26572.0572338096,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,840,168,RegionF,deterministic baseline,True,baseline,0.0000000000,,-10460240.0789265353,0.0000000000,-51.3839004233,44.6065100038,0.8020446729,26605.1959574603,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1008,168,RegionF,deterministic baseline,True,baseline,0.0000000000,,-10326898.8914103005,0.0000000000,-59.3045000000,44.8744819084,0.8050212772,26205.1403419575,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1176,168,RegionF,deterministic baseline,True,baseline,0.0000000000,,-10189346.4692760948,0.0000000000,-53.6276004233,44.7564163976,0.8015191100,26675.8316183068,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1344,168,RegionF,deterministic baseline,True,baseline,0.0000000000,,-10064326.2531581949,0.0000000000,-64.6004004233,44.1001450457,0.8015345298,26673.7592012699,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1512,168,RegionF,deterministic baseline,True,baseline,0.0000000000,,-9905635.6591185257,0.0000000000,-49.2099995767,45.3263198753,0.8034289663,26419.1469267727,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1680,168,RegionF,deterministic baseline,True,baseline,0.0000000000,,-9869420.2418126054,0.0000000000,-76.5764995767,44.0551600414,0.8010632109,26737.1044559261,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1848,168,RegionF,deterministic baseline,True,baseline,0.0000000000,,-9784388.9325762670,0.0000000000,-65.3751000000,48.2538836599,0.8027453983,26511.0184683068,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000
